GeneID,C1,C2,C3,C4,C5,T1,T2,T3,T4,T5
IOFczayBO971,259800,238000,275400,272500,254400,15310,6097,3594,5015,3053
jlUhTGpCjSaU,598100,541900,552500,532700,561900,262300,248000,249500,261300,260400
ToyZznKgj8K8,17980,16200,22040,17480,18140,6318,4339,5219,3893,5077
YRMRULcWb5bQ,134900,129900,151200,131600,134600,40930,41990,46560,42030,41070
V8rksCbVo9vP,373500,372800,406700,412200,389700,149400,130500,120600,121300,121500
lCikAQXvjd2a,179100,191600,190000,191800,190200,143700,143300,153000,145800,146800
ZRBtxR1nPyiH,8868000,8844000,9040000,9325000,8446000,227300,282100,56160,99620,117200
xGp10CRBTTzJ,1005000,1017000,1127000,1135000,1040000,74510,66870,40760,49070,47370
HvhAewPJI6Ie,2306000,2388000,2353000,2369000,2186000,812900,875900,805000,718200,699200
OMsIW9JzhaHZ,19460,19670,17990,22700,20240,3528,3654,3724,2828,2861
1pTsXNJSKNBx,84820,108300,106700,94370,97730,40120,36190,35210,36470,32260
Qymz6kVNdZPH,65730,63760,68200,71940,66090,38270,39660,37030,39480,40020
quTZnAmtLo4f,582100,543700,584900,621400,574100,85410,80730,64110,68740,71420
VT64YEVyNdIz,2319000,2236000,2263000,2438000,2223000,464100,455300,401500,345600,395200
UWi2TbKBs3e1,88640,86410,89880,91980,80190,41450,40360,43440,38070,38240
aIUaCNVtQxFJ,16470,19830,19780,20420,20390,2901,4883,4704,4208,4213
uhDlulUrzloP,420900,420700,442500,410700,393600,113200,99830,86060,92970,102900
QTPqenAHzs44,55020,60220,53540,61410,62580,17530,13350,18950,17640,22300
9X7MIhA7gTPz,167200,173400,174700,178900,163000,75920,61350,72080,69730,67900
go1sYWj58y07,67420,64510,68480,70340,66920,33580,30790,32600,30950,32350
8xpXdUkfyMEn,209600,234100,223900,225600,237600,99810,103300,100700,98230,109100
sMNVjS70biA5,1314000,1385000,1544000,1415000,1325000,29530,35390,30440,23240,30610
gsc6mfztNiKr,135900,137800,142500,142900,141700,64140,71340,72480,64950,69980
qtXcuChZG9H4,91690,85060,101100,90950,86570,36760,37770,34540,36870,30750
jMZSRpymNcvs,271400,270400,290300,293600,276800,124700,106100,116400,94980,109300
79zGNECAOSar,292300,286000,308300,331100,298100,54060,47670,40930,40400,42590
6OG1BI2sZmJV,214900,191200,207700,211900,193900,66940,56080,64090,59240,61130
q7si1jTgb7Ed,953400,978400,1061000,1113000,995500,52970,29520,6208,7891,9520
DHIgaMQtAmtc,282900,266900,284100,297500,281500,160700,135600,149000,156900,157900
drkpWu6mPKw5,99200,101600,112800,116400,110300,50120,47720,40350,48000,40380
oQiuTrz78QpA,168900,170500,171800,180200,163400,93130,91040,86760,88040,90300
GqmgVjg4fSnK,2048000,1956000,2090000,2127000,1939000,806200,776900,742600,714900,749800
oqwG7bcTzdix,138300,131800,143500,144100,134700,21980,20470,18390,20160,21930
gVLQvHQL7VrW,287300,292100,293500,290100,295200,93310,82200,89530,82840,83000
dut7OFlbnXas,491600,476700,513800,510000,525200,154000,159400,136900,141700,141800
r5o6JycG2RZ9,35470,41710,39760,44970,41720,30350,24070,29250,27530,29780
r3HkpZBf8Mij,1368000,1318000,1390000,1358000,1412000,547000,506900,558400,496200,501500
Jy9tjAPa60gz,10060,11950,11950,10620,11430,3457,3485,2748,4586,4242
dpodamOKbaNY,247300,252300,265700,256600,259900,116700,125200,122200,110800,105500
NBXkVSuTmXSJ,446300,442900,487900,537900,492500,194800,199800,213500,203900,212300
MB0sso8va9Jt,475800,472400,512100,490100,478300,147300,133900,120000,118800,121000
u5TOvLAQNDwD,5492,10580,8300,8983,11110,9600,11140,9147,7579,10010
5WmjRNsKNprZ,3011000,2843000,2897000,3017000,2891000,993900,873200,917700,922100,881800
ZQZgjR8Ly3nT,103100,94580,114900,115600,107400,50110,42120,48340,47190,40200
5ZjXPsrglxQF,1e+05,101000,106600,98130,102700,41400,38800,40340,36710,36960
7xUItY7Bbam9,215200,213400,229400,221900,191400,22820,23540,22290,20760,24530
UnG3M2lOf9rO,56790,53880,63820,66310,59880,30930,30270,29660,26260,27830
bgQFYD3LXPQn,473300,446400,513700,522300,460600,232000,251200,238400,218900,225000
7McvOyDBqdYk,27210,26580,28670,27000,26130,12470,10640,11270,11040,10180
tP95qs3h6erJ,12510,9936,9854,11040,12220,2278,1956,1713,2062,1713
drCrgHXne9kc,299700,323200,369400,374100,306400,188300,170100,179700,174300,173000
tmsZHrxE0Gin,217500,217600,235200,252300,226100,120700,120800,102700,113000,120400
qOQ3NC2DqL9p,887000,858500,881300,907400,834900,214700,214200,190200,169500,174700
RifUUdH74iZT,107500,112300,113100,121900,100900,41700,37970,32700,36730,38190
2X7nTMkJxUit,89790,93420,89310,88940,91460,15450,13530,10510,12530,11590
ppZVuVGWQlTT,257900,275200,262800,272600,270600,136000,130300,144300,127500,145400
nk1kWxEPH3bL,462200,449000,481400,461000,475100,280400,251900,262700,277000,259100
FiSnwiyVinbY,86960,88490,86840,100200,86650,23970,23590,24130,23960,24760
HAca8XjnME29,157600,155400,165800,175100,162900,80210,73870,71760,79780,82480
sv3zwyXXxhmc,270900,252700,247400,269100,249400,123900,120000,123700,123200,127200
E8W84ATy5HrC,812400,761500,824100,832400,785700,324800,304700,305200,290000,327100
4oZndgo5Y7cg,207000,200100,218700,214800,200800,8849,7456,388.1,2815,2324
H1isVbiQTlk1,154400,165900,152500,171000,159400,59420,55610,55590,55350,45200
bLq1exF0EEWI,2418000,2264000,2390000,2369000,2189000,57190,48200,6369,7821,4215
xQfcbaOoq0TR,381700,350400,360800,406500,351600,25380,24680,8525,13620,11780
AOURTyYgVvq8,37590,36670,37820,41480,36880,14480,15450,14630,15660,16230
bNHQVXXRSi8Q,216200,221300,225300,220700,215100,71800,75510,72210,67430,68730
5mWMipiyxSMt,481400,472800,491100,470600,461600,314800,291500,301300,292200,289700
WStnMOqwxpDv,2347000,2361000,2420000,2551000,2380000,822000,792100,736800,705700,739300
qhe0p660cY0G,684900,665000,699100,671600,618800,86550,64930,69660,74740,69870
k8gebXg6Z2K7,72080,84810,84830,87760,77680,38860,32220,39420,35280,39600
oaDoYVMGQr4W,395500,362500,377900,404700,347400,208800,185400,150200,177100,170200
JPQP5GSuJqk6,225200,239700,227900,245200,231400,251600,227400,235200,243400,228000
5PWbU2RPLvm1,50500,45230,53790,49970,47560,21320,21290,24500,23340,22600
L1PkPnYbgaME,79900,76330,83130,94010,89550,19110,23400,20490,25550,28100
sEfA6pB21Dgd,20170,20370,22240,26150,23610,7009,7605,7743,8398,6179
UEsAFxr7igcs,226400,220400,238600,224400,203200,155900,148300,143900,147800,141400
NpcRVr5bYGSQ,4338000,4200000,4748000,4617000,4057000,1247000,1136000,1041000,976000,1116000
0S4WyeMQ0ESA,120200,122300,112100,122400,111400,35850,26730,29160,25750,26400
